item_id;item_name;sup;en_name;التصنيف
3/21/001;ترمومتر مئوي    صفر- 200م;المواد الفيزيائية;CELSUIS THERMOMETER;الحرارة
3/21/002;مولد كهربائي يعمل على الطاقة الشمسية;المواد الفيزيائية;ELECTRIC MOTOR;الحرارة
3/21/003;مولد كهربائي يعمل على الطاقة الشمسية;المواد الفيزيائية;ELECTRIC MOTOR;الحرارة
3/21/004;الة بخارية تعمل على الكهرباء;المواد الفيزيائية;STEAM ENGINE;الحرارة
3/21/005;الة بخارية تعمل على الكهرباء;المواد الفيزيائية;STEAM ENGINE;الحرارة
3/21/006;جهاز تحويل الطاقة الكهربية الى حرارية والعكس;المواد الفيزيائية;THERMOPILE;الحرارة
3/21/007;ميزان لقياس كثافة السوائل;المواد الفيزيائية;DENSITY BALANCE;الميكانيكا
3/21/008;ميزان مغناطيسي;المواد الفيزيائية;MAGNETIC BALANCE;الميكانيكا
3/21/009;جهاز تحقيق قانون جايلوساك;المواد الفيزيائية;GAY-LUSSAC'S LAW APPARTUS;الميكانيكا
3/21/010;جهاز تحقيق قانون هوك;المواد الفيزيائية;HOOK'S LAW APPARTUS;الميكانيكا
3/21/011;مزولة شمسية;المواد الفيزيائية;SUNDIAL;الميكانيكا
3/21/012;دولاب ( عجلة ) ذو ريش;المواد الفيزيائية;ROTATING VANES;الميكانيكا
3/21/013;منشور ثلاثي على حامل لتجارب الانكسار;المواد الفيزيائية;TRIANGULAR PRISM;الضوء
3/21/014;ثقل سداسي بخطاف 2 ك;المواد الفيزيائية;HEXAGONAL MASS;الميكانيكا
3/21/015;ثقل اسطواني بخطاف;المواد الفيزيائية;CYLINDRICAL MASS;الميكانيكا
3/21/016;شوكة رنانة معلومة التردد 256;المواد الفيزيائية;TUNNING FROK;الصوت
3/21/017;نماذج هندسية شفافة;المواد الفيزيائية;GEOMETRICAL MODELS;الميكانيكا
3/21/018;ترمومتر كهربائي;المواد الفيزيائية;DIGITAL THERMOMETER;الحرارة
3/21/019;جهاز هير لتعيين كثافة السوائل;المواد الفيزيائية;HARE'S APPARTUS;الميكانيكا
3/21/020;سبكتروسكوب ( مشكال الضوء البسيط );المواد الفيزيائية;SPECTROSCOPE;الضوء
3/21/021;نموذج للحركة البراونية;المواد الفيزيائية;BROWNIAN MOTION;الميكانيكا
3/21/022;نموذج رافعة من النوع الاول;المواد الفيزيائية;FIRST KIND LEVER;الميكانيكا
3/21/023;حاجز ذو ثقب صغير في الوسط;المواد الفيزيائية;COMBINED OBJECT AND RECEIVING SCREEN;الضوء
3/21/101;اناء معدني رقيق يتحطم عند تكثيف البخار فيه;المواد الفيزيائية;CRUSHING CYLINDER;الحرارة
3/21/102;انبوبة من الزجاج مملؤة بالماء تنفجر عند تجمد الماء;المواد الفيزيائية;GLASS TUBE FULL WITH WATER;الحرارة
3/21/103;بيرو متر لبيان التمدد الطولي للمعادن;المواد الفيزيائية;LINER EXPANSION APPARTUS;الحرارة
3/21/104;ترمس او زجاجة ديوار;المواد الفيزيائية;DEWAR VESSEL;الحرارة
3/21/105;ترمومتر النهاية الصغرى على لوحة;المواد الفيزيائية;MINIMUM THERMOMETER;الحرارة
3/21/106;ترمومتر النهاية العظمى على لوحة;المواد الفيزيائية;MAXIMUM THERMOMETER;الحرارة
3/21/107;ترمو متر بكمان;المواد الفيزيائية;BECKMANN THERMOMETER;الحرارة
3/21/108;ترمومتر حائط;المواد الفيزيائية;WALL THERMOMETER;الحرارة
3/21/109;ترمومتر النهايتين ومعه المغناطيس;المواد الفيزيائية;MAXIMUM & MINIMUM THERMOMETER;الحرارة
3/21/110;ترمومتر ذو تدريج دائري;المواد الفيزيائية;THERMOMETER (ROUND TYPE);الحرارة
3/21/111;ترمومتر طبي;المواد الفيزيائية;CLINICAL THERMOMETER;الحرارة
3/21/112;ترمومتر كحولي;المواد الفيزيائية;ALCOHOL THERMOMETER;الحرارة
3/21/113;ترمومتر مئوي (-10الى110درجة مئوية);المواد الفيزيائية;CELSUIS THERMOMETER;الحرارة
3/21/114;ترمومتر مئوي(-10الى 250درجةمئوية);المواد الفيزيائية;CELSUIS THERMOMETER;الحرارة
3/21/1144;ترمومتر زئبقي مئوي;المواد الفيزيائية;THERMOMETERS MERCURY;الحرارة
3/21/1145;ترمومتر كحولي مئوي;المواد الفيزيائية;ALCOHOL THERMOMETER;الحرارة
3/21/115;ترمومتر مئوى وفهرنهيتي على لوحة;المواد الفيزيائية;CELSUIS - FAHERNHEIT THERMOMETER;الحرارة
3/21/116;ثرموستات مبسط;المواد الفيزيائية;THERMOSTAT;الحرارة
3/21/117;ثرموسكوب بالاثير ;المواد الفيزيائية;THERMOSCOPE ETHER;الحرارة
3/21/118;جهاز اختلاف تمدد السوائل بالحرارة;المواد الفيزيائية;EXPANSION OF LIQUIDS APPARTUS;الحرارة
3/21/119;جهاز الحمل بالسوائل;المواد الفيزيائية;CONVETION IN LIQUID APPARTUS;الحرارة
3/21/120;جهاز الحمل بالغازات;المواد الفيزيائية;CONVETION IN GAS APPARTUS;الحرارة
3/21/121;جهاز انجنهاوز لبيان اختلاف التوصيل الاجسام الصلبة;المواد الفيزيائية;INZEN-HAUZE  APPARTUS;الحرارة
